temperature,air_pressure,same_day_rain,next_day_rain,relative_humidity,wind_direction,wind_speed,cloud_height,cloud_density,month,day,daylight,lightning,air_quality
cold,increasing,drizzle,drizzle,low,west,high,low,high,march,sunday,cloudy,no_lightning,bad
high,decreasing,deluge,deluge,high,east,low,low,high,august,sunday,cloudy,no_lightning,medium
high,increasing,drizzle,dry,high,north,low,low,high,july,tuesday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,south,no_wind,no_cloud,no_cloud,september,saturday,sunny,no_lightning,bad
medium,increasing,drizzle,drizzle,high,north,low,high,low,april,wednesday,sunny,no_lightning,medium
medium,increasing,dry,drizzle,low,south,low,low,high,june,saturday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,south,no_wind,high,high,april,monday,cloudy,no_lightning,bad
medium,decreasing,deluge,drizzle,high,east,high,high,low,november,friday,cloudy,no_lightning,bad
high,increasing,dry,dry,high,south,no_wind,no_cloud,no_cloud,june,friday,sunny,no_lightning,good
high,increasing,dry,dry,low,east,low,high,low,august,thursday,sunny,no_lightning,bad
cold,increasing,deluge,dry,low,east,high,low,high,april,friday,cloudy,no_lightning,bad
cold,decreasing,dry,deluge,low,north,no_wind,no_cloud,no_cloud,march,sunday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,east,no_wind,low,high,april,sunday,cloudy,no_lightning,bad
cold,increasing,dry,dry,high,south,low,no_cloud,no_cloud,october,wednesday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,north,no_wind,low,high,november,wednesday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,south,low,no_cloud,no_cloud,january,monday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,east,high,high,low,september,monday,cloudy,no_lightning,bad
high,decreasing,drizzle,drizzle,low,west,high,low,low,july,thursday,cloudy,no_lightning,medium
medium,increasing,drizzle,dry,high,north,low,high,high,january,saturday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,north,high,high,high,february,wednesday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,high,north,low,no_cloud,no_cloud,september,tuesday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,south,low,no_cloud,no_cloud,december,friday,sunny,no_lightning,medium
high,decreasing,dry,drizzle,low,north,high,no_cloud,no_cloud,july,wednesday,sunny,low,bad
medium,decreasing,dry,drizzle,low,south,high,no_cloud,no_cloud,september,tuesday,sunny,no_lightning,bad
high,decreasing,drizzle,deluge,low,east,low,low,high,july,friday,cloudy,no_lightning,good
high,increasing,dry,dry,low,east,low,no_cloud,no_cloud,august,friday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,east,low,no_cloud,no_cloud,may,sunday,sunny,no_lightning,bad
cold,increasing,dry,drizzle,low,east,no_wind,low,high,april,monday,cloudy,no_lightning,bad
cold,increasing,dry,deluge,high,south,no_wind,low,high,april,monday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,west,low,low,low,may,wednesday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,north,low,no_cloud,no_cloud,january,sunday,sunny,no_lightning,bad
high,increasing,dry,dry,high,east,low,no_cloud,no_cloud,june,sunday,sunny,high,bad
medium,decreasing,drizzle,drizzle,low,east,no_wind,high,high,august,sunday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,north,no_wind,high,low,april,wednesday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,high,high,high,january,tuesday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,west,low,low,high,september,saturday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,north,low,high,high,january,wednesday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,south,no_wind,low,high,november,friday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,low,west,low,no_cloud,no_cloud,december,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,west,no_wind,no_cloud,no_cloud,may,saturday,sunny,no_lightning,bad
medium,decreasing,deluge,drizzle,high,north,low,high,low,october,thursday,sunny,no_lightning,good
medium,increasing,dry,dry,low,south,high,low,low,august,tuesday,sunny,no_lightning,bad
medium,decreasing,deluge,drizzle,high,north,no_wind,low,low,january,monday,cloudy,no_lightning,bad
high,decreasing,deluge,drizzle,high,north,no_wind,low,high,june,monday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,south,high,high,high,november,tuesday,cloudy,no_lightning,bad
cold,increasing,dry,dry,high,west,low,high,high,february,monday,cloudy,low,bad
cold,decreasing,drizzle,deluge,high,west,low,high,high,may,sunday,cloudy,no_lightning,bad
high,increasing,dry,deluge,high,west,no_wind,no_cloud,no_cloud,august,saturday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,east,low,no_cloud,no_cloud,october,tuesday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,east,high,low,high,may,monday,cloudy,no_lightning,medium
cold,decreasing,dry,deluge,high,south,low,no_cloud,no_cloud,november,thursday,sunny,no_lightning,medium
high,decreasing,deluge,drizzle,low,south,no_wind,low,high,august,monday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,north,low,high,high,june,monday,cloudy,no_lightning,bad
high,increasing,drizzle,deluge,high,south,no_wind,low,high,june,monday,cloudy,no_lightning,bad
medium,increasing,dry,drizzle,high,east,no_wind,low,high,december,friday,cloudy,no_lightning,bad
cold,increasing,drizzle,dry,high,west,low,low,high,december,tuesday,cloudy,no_lightning,bad
cold,increasing,drizzle,drizzle,high,west,high,high,high,may,thursday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,south,low,no_cloud,no_cloud,july,friday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,north,no_wind,low,low,march,saturday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,east,no_wind,low,high,december,friday,cloudy,no_lightning,bad
cold,decreasing,dry,deluge,high,north,low,no_cloud,no_cloud,march,wednesday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,west,low,no_cloud,no_cloud,november,friday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,east,no_wind,high,high,february,saturday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,east,no_wind,no_cloud,no_cloud,march,friday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,south,no_wind,low,low,september,sunday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,south,high,low,low,october,saturday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,east,low,no_cloud,no_cloud,december,thursday,sunny,no_lightning,bad
high,decreasing,dry,deluge,high,south,low,no_cloud,no_cloud,july,wednesday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,south,low,no_cloud,no_cloud,january,monday,sunny,no_lightning,bad
high,increasing,dry,dry,low,east,no_wind,low,low,june,sunday,sunny,no_lightning,medium
cold,increasing,deluge,drizzle,low,north,low,low,high,march,monday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,south,high,low,high,november,sunday,cloudy,no_lightning,bad
high,increasing,drizzle,deluge,high,north,high,high,low,july,saturday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,east,no_wind,low,high,january,wednesday,cloudy,no_lightning,bad
high,increasing,deluge,dry,low,north,high,high,low,july,wednesday,cloudy,low,medium
medium,increasing,dry,dry,high,west,high,high,low,july,tuesday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,north,no_wind,no_cloud,no_cloud,april,saturday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,east,low,high,high,april,friday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,south,high,low,low,september,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,west,high,no_cloud,no_cloud,july,wednesday,sunny,no_lightning,bad
cold,increasing,drizzle,dry,high,west,no_wind,high,high,december,wednesday,cloudy,no_lightning,bad
high,increasing,drizzle,drizzle,high,north,no_wind,low,high,june,monday,cloudy,no_lightning,bad
medium,decreasing,dry,deluge,low,east,no_wind,no_cloud,no_cloud,july,friday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,south,no_wind,high,high,august,wednesday,cloudy,no_lightning,medium
high,increasing,dry,deluge,high,north,high,no_cloud,no_cloud,june,wednesday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,west,low,no_cloud,no_cloud,april,wednesday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,south,high,no_cloud,no_cloud,september,friday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,south,no_wind,no_cloud,no_cloud,august,wednesday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,south,low,low,low,march,monday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,low,south,no_wind,no_cloud,no_cloud,october,wednesday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,south,low,high,high,june,friday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,north,no_wind,low,low,february,sunday,cloudy,no_lightning,bad
cold,increasing,drizzle,dry,high,south,low,low,high,november,thursday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,east,high,no_cloud,no_cloud,march,saturday,sunny,no_lightning,bad
cold,increasing,dry,dry,high,east,no_wind,low,low,october,tuesday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,west,high,high,low,december,monday,cloudy,no_lightning,bad
cold,decreasing,drizzle,deluge,high,south,no_wind,low,high,october,thursday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,east,low,high,high,april,saturday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,south,high,high,low,december,tuesday,sunny,no_lightning,bad
medium,increasing,deluge,dry,low,north,high,low,low,april,thursday,sunny,no_lightning,bad
high,increasing,dry,dry,high,north,low,no_cloud,no_cloud,july,monday,sunny,no_lightning,bad
high,increasing,dry,dry,low,east,no_wind,no_cloud,no_cloud,august,thursday,sunny,no_lightning,good
cold,decreasing,dry,deluge,high,south,no_wind,no_cloud,no_cloud,may,monday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,south,low,no_cloud,no_cloud,june,sunday,sunny,no_lightning,bad
cold,increasing,drizzle,dry,high,east,low,high,low,february,saturday,sunny,no_lightning,bad
high,increasing,dry,dry,low,south,no_wind,high,low,june,sunday,sunny,no_lightning,medium
cold,decreasing,dry,deluge,high,south,no_wind,no_cloud,no_cloud,december,monday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,high,east,high,low,low,march,friday,sunny,no_lightning,bad
cold,increasing,dry,dry,high,north,low,low,low,may,sunday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,north,high,low,low,december,monday,sunny,no_lightning,medium
medium,increasing,drizzle,deluge,high,south,high,high,low,september,tuesday,sunny,no_lightning,bad
high,increasing,dry,deluge,high,east,high,no_cloud,no_cloud,july,friday,sunny,no_lightning,bad
cold,increasing,dry,drizzle,low,south,no_wind,no_cloud,no_cloud,march,sunday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,east,no_wind,high,low,january,friday,cloudy,no_lightning,bad
high,decreasing,deluge,deluge,high,east,low,low,high,august,wednesday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,north,low,high,low,july,sunday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,west,high,no_cloud,no_cloud,november,thursday,sunny,no_lightning,bad
medium,increasing,drizzle,drizzle,high,north,no_wind,low,high,february,tuesday,cloudy,no_lightning,bad
medium,increasing,drizzle,dry,high,west,low,high,high,october,monday,cloudy,no_lightning,bad
high,decreasing,dry,deluge,high,west,low,no_cloud,no_cloud,june,thursday,sunny,no_lightning,medium
high,increasing,drizzle,drizzle,high,north,high,low,high,july,tuesday,cloudy,no_lightning,bad
cold,decreasing,dry,deluge,high,east,no_wind,no_cloud,no_cloud,september,tuesday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,west,low,no_cloud,no_cloud,march,friday,sunny,no_lightning,bad
high,decreasing,dry,deluge,high,west,low,no_cloud,no_cloud,august,thursday,sunny,no_lightning,bad
cold,increasing,drizzle,dry,high,east,low,low,high,october,saturday,cloudy,no_lightning,bad
medium,increasing,dry,drizzle,low,west,low,high,high,february,thursday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,low,high,low,july,thursday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,west,low,no_cloud,no_cloud,december,tuesday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,south,no_wind,low,high,september,friday,cloudy,no_lightning,bad
high,increasing,drizzle,dry,high,north,no_wind,low,high,july,tuesday,cloudy,high,bad
medium,increasing,dry,dry,high,north,no_wind,no_cloud,no_cloud,may,thursday,sunny,no_lightning,medium
high,decreasing,deluge,deluge,high,north,low,low,high,august,friday,cloudy,no_lightning,bad
cold,increasing,drizzle,dry,high,north,high,low,low,september,saturday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,south,no_wind,high,high,may,wednesday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,high,high,low,january,wednesday,cloudy,no_lightning,bad
high,increasing,dry,dry,high,east,no_wind,high,high,june,friday,cloudy,no_lightning,bad
cold,increasing,deluge,dry,high,south,high,high,low,april,wednesday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,west,low,high,high,december,saturday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,west,low,high,low,february,saturday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,south,high,low,high,october,wednesday,cloudy,no_lightning,bad
high,increasing,dry,dry,low,east,high,low,low,june,monday,sunny,no_lightning,medium
medium,increasing,dry,dry,high,east,high,no_cloud,no_cloud,january,wednesday,sunny,low,bad
cold,increasing,dry,dry,high,west,no_wind,no_cloud,no_cloud,january,sunday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,north,high,low,high,november,sunday,cloudy,no_lightning,bad
medium,decreasing,drizzle,deluge,high,west,high,low,high,february,saturday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,low,north,high,high,low,april,saturday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,east,no_wind,low,high,april,thursday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,east,low,low,high,december,saturday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,east,high,low,high,march,saturday,sunny,no_lightning,bad
high,decreasing,dry,deluge,high,west,no_wind,no_cloud,no_cloud,july,tuesday,sunny,no_lightning,good
medium,decreasing,drizzle,drizzle,low,east,no_wind,low,high,may,sunday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,west,no_wind,high,low,february,monday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,west,no_wind,no_cloud,no_cloud,april,wednesday,sunny,no_lightning,bad
cold,increasing,dry,drizzle,low,east,high,no_cloud,no_cloud,november,thursday,sunny,no_lightning,bad
cold,increasing,dry,dry,high,east,high,low,low,march,sunday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,high,high,low,february,tuesday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,north,high,high,high,may,wednesday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,west,high,low,low,may,friday,sunny,no_lightning,bad
cold,increasing,deluge,dry,low,south,low,high,high,january,sunday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,south,no_wind,no_cloud,no_cloud,march,saturday,sunny,no_lightning,bad
high,decreasing,dry,deluge,high,north,low,no_cloud,no_cloud,june,friday,sunny,no_lightning,medium
medium,decreasing,deluge,deluge,high,south,no_wind,low,high,december,wednesday,cloudy,no_lightning,bad
medium,increasing,dry,deluge,high,north,no_wind,low,high,february,sunday,cloudy,no_lightning,bad
high,decreasing,dry,deluge,high,east,no_wind,no_cloud,no_cloud,july,thursday,sunny,no_lightning,good
cold,increasing,dry,dry,low,south,no_wind,high,low,january,monday,cloudy,no_lightning,bad
medium,increasing,drizzle,dry,high,north,low,high,low,september,thursday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,south,low,low,low,june,sunday,cloudy,no_lightning,medium
cold,decreasing,deluge,drizzle,high,east,low,low,low,december,friday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,south,no_wind,no_cloud,no_cloud,september,tuesday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,west,low,no_cloud,no_cloud,may,saturday,sunny,no_lightning,bad
cold,increasing,drizzle,dry,high,east,high,high,low,october,thursday,cloudy,no_lightning,bad
cold,increasing,dry,dry,high,south,no_wind,no_cloud,no_cloud,october,monday,sunny,no_lightning,bad
high,increasing,deluge,dry,low,east,low,high,high,august,friday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,north,high,no_cloud,no_cloud,september,tuesday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,east,high,low,low,september,wednesday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,west,high,high,high,january,thursday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,north,low,no_cloud,no_cloud,august,monday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,east,low,low,low,july,tuesday,cloudy,no_lightning,medium
cold,increasing,drizzle,drizzle,high,east,high,low,high,october,monday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,west,no_wind,high,high,february,monday,cloudy,no_lightning,bad
high,decreasing,dry,deluge,high,north,high,no_cloud,no_cloud,august,wednesday,sunny,no_lightning,bad
high,increasing,dry,dry,low,east,no_wind,low,high,august,thursday,cloudy,low,bad
medium,increasing,dry,dry,high,south,no_wind,low,high,october,monday,cloudy,no_lightning,bad
high,increasing,deluge,dry,high,east,high,low,high,august,saturday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,high,east,high,high,low,november,friday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,north,no_wind,high,high,december,saturday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,north,high,low,high,january,tuesday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,south,high,high,low,december,thursday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,west,no_wind,low,low,january,monday,sunny,no_lightning,bad
cold,increasing,dry,dry,high,east,high,no_cloud,no_cloud,january,saturday,sunny,no_lightning,bad
high,decreasing,deluge,deluge,high,south,low,high,high,july,thursday,cloudy,low,bad
medium,increasing,dry,dry,low,west,low,high,high,october,wednesday,cloudy,no_lightning,bad
medium,increasing,deluge,deluge,high,west,no_wind,low,high,january,wednesday,cloudy,no_lightning,medium
cold,increasing,dry,dry,low,south,no_wind,no_cloud,no_cloud,december,tuesday,sunny,no_lightning,bad
cold,increasing,drizzle,drizzle,low,north,low,low,high,january,monday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,north,high,high,low,november,tuesday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,north,high,high,low,may,friday,sunny,no_lightning,medium
cold,decreasing,drizzle,drizzle,low,north,high,low,low,october,tuesday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,south,high,low,high,november,tuesday,cloudy,no_lightning,bad
cold,increasing,drizzle,dry,high,east,low,high,low,march,sunday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,high,north,low,no_cloud,no_cloud,september,saturday,sunny,no_lightning,bad
medium,increasing,drizzle,deluge,high,south,high,low,low,february,monday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,south,high,high,high,january,friday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,north,no_wind,no_cloud,no_cloud,january,wednesday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,south,no_wind,no_cloud,no_cloud,november,saturday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,south,high,low,high,october,friday,cloudy,no_lightning,bad
medium,decreasing,deluge,drizzle,high,north,low,low,high,october,sunday,cloudy,no_lightning,bad
medium,increasing,drizzle,dry,high,west,high,low,low,december,thursday,sunny,no_lightning,bad
high,increasing,drizzle,dry,high,north,high,high,high,june,wednesday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,north,high,no_cloud,no_cloud,october,monday,sunny,no_lightning,bad
high,decreasing,deluge,drizzle,low,west,high,low,low,july,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,east,high,no_cloud,no_cloud,january,sunday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,east,no_wind,no_cloud,no_cloud,november,tuesday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,west,no_wind,low,high,september,monday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,south,no_wind,high,high,december,monday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,west,high,no_cloud,no_cloud,august,saturday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,south,high,low,high,december,monday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,south,no_wind,low,high,october,monday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,south,no_wind,no_cloud,no_cloud,april,wednesday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,west,high,low,high,september,friday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,north,no_wind,no_cloud,no_cloud,january,friday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,low,low,low,december,wednesday,sunny,no_lightning,bad
high,decreasing,deluge,deluge,high,east,no_wind,high,low,july,sunday,sunny,high,bad
cold,increasing,dry,dry,low,east,no_wind,low,high,may,tuesday,cloudy,no_lightning,bad
cold,increasing,deluge,dry,high,west,no_wind,low,low,may,wednesday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,east,low,low,low,october,saturday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,south,low,no_cloud,no_cloud,january,tuesday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,south,no_wind,high,high,march,friday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,east,no_wind,high,low,may,saturday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,south,high,no_cloud,no_cloud,april,thursday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,east,no_wind,low,low,october,sunday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,south,no_wind,high,low,april,saturday,sunny,no_lightning,bad
cold,increasing,drizzle,drizzle,high,east,high,low,high,october,thursday,cloudy,no_lightning,bad
cold,increasing,dry,drizzle,low,west,high,high,high,february,wednesday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,east,high,high,low,september,friday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,north,low,no_cloud,no_cloud,february,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,north,low,low,low,february,sunday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,west,low,low,high,january,sunday,cloudy,no_lightning,bad
cold,increasing,drizzle,drizzle,high,east,no_wind,high,high,december,monday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,south,no_wind,no_cloud,no_cloud,january,thursday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,south,no_wind,no_cloud,no_cloud,march,wednesday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,south,no_wind,high,high,september,friday,cloudy,no_lightning,bad
